Unnamed: 0,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,location_label
1811,Honda Accord 2.4 AT,Kochi,9029.13,2011,62332,Petrol,Automatic,First,11.7,2354,177.6,5,11.7,location_big
1812,Volkswagen Vento 1.5 TDI Highline,Kochi,12187.03,2016,50867,Diesel,Manual,First,20.34,1498,103.2,5,20.34,location_big
1813,Hyundai i20 Sportz Petrol,Mumbai,4215.64,2010,73000,Petrol,Manual,First,17,1197,80,5,17,location_big
1814,Hyundai Elantra CRDi SX,Jaipur,9581,2012,98008,Diesel,Manual,First,22.7,1582,126.24,5,22.7,location_small
1815,Ford Figo Diesel Titanium,Hyderabad,7588.15,2015,36000,Diesel,Manual,First,20,1399,68.05,5,20,location_big
1816,Hyundai i20 1.2 Magna Executive,Kochi,9611.66,2019,27339,Petrol,Manual,First,18.6,1197,81.83,5,18.6,location_big
1817,Hyundai Verna 1.6 CRDi SX,Kolkata,13260.1,2017,25000,Diesel,Manual,First,23.9,1582,126.2,5,23.9,location_small
1818,Hyundai Grand i10 Asta,Kolkata,5365.36,2014,37000,Petrol,Manual,First,18.9,1197,82,5,18.9,location_small
1819,Audi Q5 2.0 TDI,Hyderabad,53653.6,2015,56000,Diesel,Automatic,First,14.16,1968,174.3,5,14.16,location_big
1820,Maruti Swift Dzire ZXi,Kolkata,6821.67,2015,27000,Petrol,Manual,First,17.5,1298,85.8,5,17.5,location_small
1821,Hyundai i20 Magna,Kolkata,4062.34,2012,37000,Petrol,Manual,First,18.5,1197,80,5,18.5,location_small
1822,Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,7204.91,2017,10500,Diesel,Manual,First,25.32,1198,77,5,25.32,location_small
1823,Hyundai Elantra 1.6 SX Option AT,Ahmedabad,13643.34,2014,49000,Diesel,Automatic,First,18.23,1582,126.2,5,18.23,location_big
1824,Jeep Compass 2.0 Limited Option Black,Mumbai,26750.15,2017,7000,Diesel,Manual,First,17.1,1956,170,5,17.1,location_big
1825,Maruti Vitara Brezza VDi Option,Coimbatore,14685.76,2017,71256,Diesel,Manual,First,24.3,1248,88.5,5,24.3,location_big
1826,Toyota Corolla Altis 1.8 GL,Kochi,9535.01,2012,83184,Petrol,Manual,First,14.28,1798,138.03,5,14.28,location_big
1827,Mahindra XUV500 W8 2WD,Kolkata,11957.09,2013,87284,Diesel,Manual,First,15.1,2179,140,7,15.1,location_small
1828,BMW X1 xDrive 20d xLine,Mumbai,42539.64,2016,7000,Diesel,Automatic,First,20.68,1995,190,5,20.68,location_big
1829,Hyundai i20 Magna 1.4 CRDi,Pune,10730.72,2015,29000,Diesel,Manual,Second,22.54,1396,88.73,5,22.54,location_small
1830,Mercedes-Benz GLE 350d,Coimbatore,99443.12,2017,33552,Diesel,Automatic,First,11.57,2987,254.79,5,11.57,location_big
1831,Chevrolet Cruze LTZ,Bangalore,9964.24,2013,64000,Diesel,Manual,Second,17.3,1998,163.7,5,17.3,location_big
1832,Hyundai i20 1.2 Magna,Jaipur,4138.99,2011,82000,Petrol,Manual,Second,18.5,1197,80,5,18.5,location_small
1833,Honda Brio S MT,Mumbai,3832.4,2012,70000,Petrol,Manual,Second,19.4,1198,86.8,5,19.4,location_big
1834,Nissan Evalia 2013 XL,Hyderabad,5978.54,2013,166194,Diesel,Manual,First,19.3,1461,84.8,7,19.3,location_big
1835,Volkswagen Polo Petrol Trendline 1.2L,Delhi,6055.19,2015,58000,Petrol,Manual,First,16.47,1198,73.9,5,16.47,location_big
1836,Hyundai i10 Sportz 1.2,Chennai,3219.22,2010,77000,Petrol,Manual,Second,20.36,1197,78.9,5,20.36,location_small
1837,Chevrolet Cruze LTZ AT,Pune,5365.36,2009,73204,Diesel,Automatic,Third,18.1,1991,147.9,4,18.1,location_small
1838,Hyundai i10 Era,Hyderabad,3065.92,2007,70000,Petrol,Manual,Second,19.81,1086,68.05,5,19.81,location_big
1839,Maruti Ertiga VDI,Delhi,8201.34,2014,79870,Diesel,Manual,First,20.77,1248,88.76,7,20.77,location_big
1840,Honda Amaze S i-Dtech,Delhi,5825.25,2013,90000,Diesel,Manual,First,25.8,1498,98.6,5,25.8,location_big
1841,Mercedes-Benz A Class A180 Sport,Mumbai,26443.56,2016,17000,Petrol,Automatic,First,15.5,1595,122,5,15.5,location_big
1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,8477.27,2018,46493,Petrol,Manual,First,18.9,1197,81.86,5,18.9,location_big
1843,Hyundai i10 Sportz 1.2,Pune,2989.27,2009,68000,Petrol,Manual,Third,20.36,1197,78.9,5,20.36,location_small
1844,Maruti Swift DDiS ZDI Plus,Hyderabad,12570.27,2017,2000,Diesel,Manual,First,28.4,1248,74,5,28.4,location_big
1845,Honda City 1.3 EXI,Pune,1379.66,1999,140000,Petrol,Manual,First,13,1343,90,5,13,location_small
1846,Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,9964.24,2013,255000,Diesel,Manual,Third,12.99,2494,100.6,7,12.99,location_small
1847,Mini Cooper Countryman D High,Coimbatore,29754.75,2014,45535,Diesel,Automatic,First,23.8,1998,112,5,23.8,location_big
1848,Fiat Linea T-Jet Active,Coimbatore,10086.88,2016,39228,Petrol,Manual,First,15.7,1368,112.4,5,15.7,location_big
1849,Chevrolet Aveo 1.4 LT,Mumbai,3219.22,2011,57000,Petrol,Manual,Second,14.49,1399,92.7,5,14.49,location_big
1850,Hyundai i10 Era 1.1,Chennai,3065.92,2008,85445,Petrol,Manual,Second,19.81,1086,68.05,5,19.81,location_small
1851,Hyundai Xcent 1.1 CRDi Base,Delhi,5671.95,2015,54000,Diesel,Manual,First,24.4,1120,71,5,24.4,location_big
1852,Maruti Celerio VXI AT,Mumbai,5825.25,2014,53000,Petrol,Automatic,First,23.1,998,67.04,5,23.1,location_big
1853,Hyundai i10 Sportz,Jaipur,4982.12,2014,60000,Petrol,Manual,First,20.36,1197,78.9,5,20.36,location_small
1854,Renault Duster 85PS Diesel RxL,Coimbatore,8477.27,2015,65668,Diesel,Manual,First,19.87,1461,83.8,5,19.87,location_big
1855,BMW 3 Series 320d,Ahmedabad,16709.26,2011,100000,Diesel,Automatic,Second,22.69,1995,190,5,22.69,location_big
1856,Hyundai Grand i10 Sportz,Kolkata,7818.1,2018,1800,Petrol,Manual,First,18.9,1197,82,5,18.9,location_small
1858,Chevrolet Spark 1.0 LS,Pune,2452.74,2009,44200,Petrol,Manual,Second,18,995,62,5,18,location_small
1859,Honda City i VTEC VX Option,Ahmedabad,17245.8,2018,14000,Petrol,Manual,First,17.4,1497,117.3,5,17.4,location_big
1860,Volkswagen Vento Diesel Highline,Chennai,9044.46,2013,720000,Diesel,Manual,First,20.54,1598,103.6,5,20.54,location_small
1861,Toyota Fortuner 4x2 4 Speed AT,Delhi,22074.62,2012,73000,Diesel,Automatic,First,11.5,2982,169,7,11.5,location_big
1862,Honda City 1.5 S MT,Delhi,5518.66,2011,68000,Petrol,Manual,First,17,1497,118,5,17,location_big
1863,BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,62084.88,2017,19543,Diesel,Automatic,First,18.12,1995,190,5,18.12,location_small
1864,Audi Q5 30 TDI quattro Premium Plus,Bangalore,59708.79,2014,38000,Diesel,Automatic,Second,14.16,1968,174.3,5,14.16,location_big
1865,Maruti Ritz LDi,Delhi,5518.66,2014,32805,Diesel,Manual,First,23.2,1248,73.94,5,23.2,location_big
1866,Volkswagen Vento 1.5 TDI Highline AT,Kochi,10914.68,2016,44782,Diesel,Automatic,First,21.21,1498,103.2,5,21.21,location_big
1867,Honda City i DTEC SV,Kochi,11527.86,2016,55700,Diesel,Manual,First,26,1498,98.6,5,26,location_big
1868,Audi A4 New 2.0 TDI Multitronic,Delhi,15866.14,2012,60000,Diesel,Automatic,Second,15.2,1968,140.8,5,15.2,location_big
1869,Skoda Rapid 1.6 MPI Elegance,Hyderabad,10730.72,2014,56000,Petrol,Manual,First,15,1598,103.52,5,15,location_big
1870,Toyota Fortuner 3.0 Diesel,Delhi,16632.62,2011,60000,Diesel,Manual,First,11.5,2982,171,7,11.5,location_big
1871,Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,3602.46,2010,78563,Diesel,Manual,First,16.52,1991,123.7,5,16.52,location_big
1872,Maruti Eeco 7 Seater Standard,Mumbai,4445.58,2014,34669,Petrol,Manual,First,15.1,1196,73,7,15.1,location_big
1873,Maruti Ciaz ZXi,Delhi,11727.14,2017,17000,Petrol,Manual,First,20.73,1373,91.1,5,20.73,location_big
1874,Maruti Ciaz VDi Plus SHVS,Delhi,9810.94,2016,66000,Diesel,Manual,First,28.09,1248,88.5,5,28.09,location_big
1875,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,15482.9,2014,102418,Diesel,Manual,First,12.99,2494,100.6,7,12.99,location_small
1876,Maruti Swift Dzire VXI,Kolkata,6515.08,2014,48800,Petrol,Manual,First,19.1,1197,85.8,5,19.1,location_small
1877,Toyota Innova Crysta 2.8 GX AT,Kochi,30122.66,2019,10601,Diesel,Automatic,First,11.36,2755,171.5,7,11.36,location_big
1878,Tata Indica V2 eLX,Pune,6745.02,2017,8200,Diesel,Manual,First,25,1396,69,5,25,location_small
1879,Hyundai i20 Magna,Jaipur,4982.12,2012,100000,Petrol,Manual,First,18.5,1197,82.85,5,18.5,location_small
1880,Ford Fiesta 1.4 Duratorq ZXI,Pune,4292.29,2012,78000,Diesel,Manual,First,17.8,1399,68,5,17.8,location_small
1881,Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,6591.73,2015,50000,Diesel,Manual,First,18.2,1248,73.74,8,18.2,location_small
1882,Ford Fiesta 1.4 Duratorq EXI,Chennai,2376.09,2006,89327,Diesel,Manual,Third,17.8,1399,68,5,17.8,location_small
1883,Honda CR-V 2.4 MT,Chennai,7204.91,2007,98000,Petrol,Manual,Second,10.8,2354,152,5,10.8,location_small
1884,Honda Jazz 1.2 VX i VTEC,Kochi,10838.03,2017,24700,Petrol,Manual,First,18.7,1199,88.7,5,18.7,location_big
1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,121103.84,2018,6000,Diesel,Automatic,First,11,2987,258,7,11,location_big
1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,8814.52,2018,9434,Petrol,Manual,First,18.9,1197,81.86,5,18.9,location_big
1887,Maruti Ritz VXi,Mumbai,4982.12,2012,29000,Petrol,Manual,First,18.5,1197,85.8,5,18.5,location_big
1888,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,13628.01,2017,22440,Diesel,Automatic,First,22,1498,108.495,5,22,location_big
1889,Honda City i VTEC SV,Mumbai,9044.46,2015,73070,Petrol,Manual,First,17.4,1497,117.3,5,17.4,location_big
1890,Honda Jazz 1.2 S i VTEC,Kolkata,7588.15,2016,21771,Petrol,Manual,First,18.7,1199,88.7,5,18.7,location_small
1891,Maruti Swift Ldi BSIV,Delhi,5748.6,2014,62000,Diesel,Manual,First,17.8,1248,75,5,17.8,location_big
1892,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,16816.57,2017,37024,Diesel,Automatic,First,17.01,1582,126.2,5,17.01,location_big
1893,Audi A7 2011-2015 3.0 TDI Quattro,Kochi,38232.02,2014,60336,Diesel,Automatic,Second,14.4,2967,241.4,5,14.4,location_big
1894,Hyundai EON D Lite Plus,Kolkata,3019.93,2014,26008,Petrol,Manual,First,21.1,814,55.2,5,21.1,location_small
1895,Ford Figo Diesel EXI,Jaipur,2146.14,2010,90000,Diesel,Manual,Second,20,1399,68,5,20,location_small
1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,11144.62,2018,35569,Petrol,Manual,First,17,1198,73.75,5,17,location_big
1897,Renault Scala Diesel RxL,Kolkata,6131.84,2013,40000,Diesel,Manual,First,21.64,1461,84.8,5,21.64,location_small
1898,Honda Jazz 1.2 V i VTEC,Kolkata,7281.56,2015,45000,Petrol,Manual,First,18.7,1199,88.7,5,18.7,location_small
1899,Hyundai i20 1.2 Sportz,Delhi,7818.1,2015,42000,Petrol,Manual,First,17,1197,80,5,17,location_big
1900,Audi A4 3.0 TDI Quattro Premium,Coimbatore,24695.99,2012,46913,Diesel,Automatic,First,14.94,2967,241.4,5,14.94,location_big
1901,Mahindra Ssangyong Rexton RX7,Delhi,16172.73,2014,62000,Diesel,Automatic,First,11.18,2696,184,7,11.18,location_big
1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,45988.8,2017,15000,Diesel,Automatic,First,12.9,2755,174.5,7,12.9,location_big
1903,Skoda Octavia Classic 1.9 TDI MT,Kolkata,2452.74,2002,69000,Diesel,Manual,First,18.7,1896,66,5,18.7,location_small
1904,Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,28344.43,2012,41367,Diesel,Automatic,First,15.8,2148,170,5,15.8,location_big
1905,Maruti Ciaz 1.4 Zeta,Kochi,15268.28,2018,15982,Petrol,Manual,First,20.73,1373,91.1,5,20.73,location_big
1906,Maruti Swift ZDi,Hyderabad,7281.56,2013,99595,Diesel,Manual,Second,22.9,1248,74,5,22.9,location_big
1907,Toyota Qualis FS B3,Bangalore,5595.3,2002,63000,Diesel,Manual,Third,13.1,2446,75,10,13.1,location_big
1908,BMW 5 Series 2007-2010 525d Sedan,Delhi,23760.88,2012,49000,Diesel,Automatic,Second,16.73,2495,218,5,16.73,location_big
1909,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,18119.59,2013,48272,Diesel,Manual,First,10.5,2835,116.9,6,10.5,location_big
1910,Toyota Corolla H2,Delhi,3142.57,2008,63000,Petrol,Manual,First,13.4,1794,125,5,13.4,location_big
1911,Maruti Wagon R LXI CNG,Ahmedabad,5058.77,2016,77000,CNG,Manual,First,26.6,998,58.16,5,38,location_big
1912,Maruti Omni E MPI STD BS IV,Mumbai,3449.16,2013,11734,Petrol,Manual,First,16.8,796,34.2,8,16.8,location_big
1913,Audi A6 2011-2015 2.0 TDI,Kochi,30843.16,2014,62012,Diesel,Automatic,First,17.68,1968,174.33,5,17.68,location_big
1914,Hyundai Xcent 1.2 Kappa S Option CNG,Chennai,7588.15,2017,46000,CNG,Manual,First,25,1197,81.86,5,35.71428571,location_small
1915,Honda Jazz 1.5 S i DTEC,Coimbatore,11466.54,2016,45449,Diesel,Manual,First,27.3,1498,98.6,5,27.3,location_big
1916,Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,8431.28,2004,85000,Petrol,Automatic,Second,10.5,1796,157.7,5,10.5,location_big
1917,Honda City 1.5 EXI,Jaipur,2606.03,2005,88000,Petrol,Manual,Second,13,1493,100,5,13,location_small
1918,Audi A4 2.0 TDI,Kochi,20219.74,2013,45330,Diesel,Automatic,First,16.55,1968,147.51,5,16.55,location_big
1919,Maruti Swift Dzire VXI,Mumbai,5901.9,2012,88000,Petrol,Manual,First,19.1,1197,85.8,5,19.1,location_big
1920,Maruti Dzire VDI,Delhi,8814.52,2016,45376,Diesel,Manual,First,28.4,1248,73.75,5,28.4,location_big
1921,Mahindra XUV500 W8 4WD,Pune,13796.64,2014,81000,Diesel,Manual,First,15.1,2179,140,7,15.1,location_small
1922,Chevrolet Beat LT,Kochi,3387.84,2012,83381,Petrol,Manual,First,18.6,1199,79.4,5,18.6,location_big
1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,12401.65,2017,78526,Diesel,Manual,First,23,1498,98.96,5,23,location_big
1924,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,74547.84,2017,27313,Diesel,Automatic,First,14.69,2993,258,5,14.69,location_big
1925,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,60505.93,2015,42747,Diesel,Automatic,Second,14.16,1968,174.3,5,14.16,location_big
1926,BMW X1 sDrive 20d xLine,Coimbatore,34093.03,2015,42265,Diesel,Automatic,Second,20.68,1995,190,5,20.68,location_big
1927,Hyundai i10 Magna AT,Mumbai,3985.7,2009,21000,Petrol,Automatic,First,19.2,1197,80,5,19.2,location_big
1928,Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,18395.52,2016,55100,Diesel,Automatic,First,17.01,1582,126.2,5,17.01,location_big
1929,Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,27593.28,2014,70000,Diesel,Automatic,First,17.11,1968,174.33,5,17.11,location_small
1930,Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,15314.27,2007,55000,Petrol,Automatic,Third,10.13,3498,364.9,5,10.13,location_big
1931,Hyundai i10 Magna,Kolkata,3755.75,2012,58235,Petrol,Manual,First,20.36,1197,78.9,5,20.36,location_small
1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,13781.31,2017,26000,Diesel,Manual,First,23,1498,98.96,5,23,location_big
1933,Volkswagen Vento Diesel Highline,Kolkata,4828.82,2011,35000,Diesel,Manual,First,20.54,1598,103.6,5,20.54,location_small
1934,Maruti Dzire ZDI Plus,Jaipur,12570.27,2017,24000,Diesel,Manual,First,28.4,1248,73.75,5,28.4,location_small
1935,Mahindra Scorpio 1.99 S10,Ahmedabad,17629.04,2016,98000,Diesel,Manual,First,15.4,1997,120,7,15.4,location_big
1936,Hyundai i20 Asta 1.4 CRDi,Coimbatore,11190.61,2016,44487,Diesel,Manual,First,22.54,1396,88.73,5,22.54,location_big
1937,Maruti Alto LXi,Chennai,2437.41,2008,65000,Petrol,Manual,First,19.7,796,46.3,5,19.7,location_small
1938,Hyundai i10 Magna,Delhi,4828.82,2015,34951,Petrol,Manual,Second,20.36,1197,78.9,5,20.36,location_big
1939,Mahindra Scorpio S6 7 Seater,Kolkata,13030.16,2015,52373,Diesel,Manual,Second,15.4,2179,120,7,15.4,location_small
1940,Skoda Fabia 1.2L Diesel Classic,Hyderabad,4598.88,2010,66285,Diesel,Manual,First,19.5,1199,75,5,19.5,location_big
1941,BMW X5 xDrive 30d,Mumbai,32192.16,2012,66000,Diesel,Automatic,First,15.3,2993,258,5,15.3,location_big
1942,Honda Jazz 1.5 S i DTEC,Hyderabad,11880.44,2016,43000,Diesel,Manual,First,27.3,1498,98.6,5,27.3,location_big
1943,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,35258.08,2013,45200,Diesel,Automatic,First,10,2148,170,5,10,location_big
1944,Mahindra XUV500 AT W10 FWD,Mumbai,21078.2,2016,41000,Diesel,Automatic,First,16,2179,140,7,16,location_big
1945,Honda City i VTEC CVT SV,Kochi,12708.24,2017,39430,Petrol,Automatic,First,18,1497,117.3,5,18,location_big
1946,Maruti Swift VDI,Coimbatore,8875.84,2014,83274,Diesel,Manual,First,22.9,1248,74,5,22.9,location_big
1947,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,46755.28,2017,32324,Diesel,Automatic,First,14.84,2143,170,5,14.84,location_big
1948,Honda City 1.5 S MT,Mumbai,5825.25,2011,49999,Petrol,Manual,First,17,1497,118,5,17,location_big
1949,Tata Sumo EX,Bangalore,6821.67,2014,66000,Diesel,Manual,First,15.3,2956,83.8,7,15.3,location_big
1950,Hyundai i20 Magna,Delhi,5058.77,2012,54000,Petrol,Manual,First,18.5,1197,82.85,5,18.5,location_big
1951,Fiat Linea 1.3 Dynamic,Jaipur,2682.68,2009,80000,Diesel,Manual,Second,20.4,1248,91.2,5,20.4,location_small
1952,Honda Civic 2006-2010 1.8 V AT,Bangalore,8431.28,2011,72000,Petrol,Automatic,Second,12.9,1799,130,5,12.9,location_big
1953,Hyundai Creta 1.6 SX Plus Diesel,Pune,20465.02,2017,44865,Diesel,Manual,First,19.67,1582,126.2,5,19.67,location_small
1954,Audi A3 35 TDI Technology,Delhi,34491.6,2017,22000,Diesel,Automatic,Second,20.38,1968,143,5,20.38,location_big
1955,Hyundai Verna VTVT 1.6 SX Option,Delhi,8048.04,2013,57478,Petrol,Manual,Second,17,1591,121.3,5,17,location_big
1956,Hyundai i20 1.4 CRDi Magna,Hyderabad,5748.6,2011,75000,Diesel,Manual,First,21.9,1396,90,5,21.9,location_big
1957,Honda Mobilio S i DTEC,Kochi,9688.31,2015,50624,Diesel,Manual,First,24.2,1498,98.6,7,24.2,location_big
1958,Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,11880.44,2018,75000,Diesel,Automatic,First,22.32,1582,126.32,5,22.32,location_big
1959,Ford Fiesta 1.6 ZXI Duratec,Chennai,2100.16,2006,87000,Petrol,Manual,Second,15.3,1596,101,5,15.3,location_small
1960,Hyundai i10 Sportz 1.2,Mumbai,3219.22,2010,62000,Petrol,Manual,First,20.36,1197,78.9,5,20.36,location_big
1961,Maruti Vitara Brezza ZDi,Hyderabad,14256.53,2016,41372,Diesel,Manual,First,24.3,1248,88.5,5,24.3,location_big
1962,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,18395.52,2015,70000,Diesel,Manual,First,12.99,2494,100.6,7,12.99,location_big
1963,Mercedes-Benz GLA Class 200 d Sport,Pune,36024.56,2017,35000,Diesel,Automatic,First,17.9,2143,136,5,17.9,location_small
1964,Maruti Alto LXi BSIII,Hyderabad,2759.33,2006,71993,Petrol,Manual,First,19.7,796,46.3,5,19.7,location_big
1965,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,19162,2013,62000,Diesel,Automatic,Second,14.84,2143,170,5,14.84,location_small
1966,Maruti Swift LDI,Delhi,7266.23,2015,51000,Diesel,Manual,First,22.9,1248,74,5,22.9,location_big
1967,Hyundai Grand i10 Sportz,Kochi,8323.97,2016,26038,Petrol,Manual,First,18.9,1197,82,5,18.9,location_big
1968,Toyota Fortuner 4x4 AT,Kochi,48472.2,2018,37713,Diesel,Automatic,Second,12.55,2982,168.5,7,12.55,location_big
1969,Toyota Innova 2.0 GX 8 STR,Kolkata,9657.65,2011,78088,Petrol,Manual,First,12.4,1998,132,8,12.4,location_small
1970,Ford EcoSport 1.5 TDCi Titanium,Kochi,12953.51,2017,30453,Diesel,Manual,First,22.77,1498,98.59,5,22.77,location_big
1971,Ford Figo 1.2P Titanium MT,Pune,7664.8,2016,54000,Petrol,Manual,First,18.16,1196,86.8,5,18.16,location_small
1972,Toyota Fortuner 3.0 Diesel,Chennai,19928.48,2011,190000,Diesel,Manual,First,11.5,2982,171,7,11.5,location_small
1973,Maruti Swift Dzire VXI,Hyderabad,7204.91,2012,65097,Petrol,Manual,First,19.1,1197,85.8,5,19.1,location_big
1974,BMW 7 Series 740Li,Coimbatore,143592.36,2018,28060,Petrol,Automatic,First,12.05,2979,320,5,12.05,location_big
1975,Skoda Superb 1.8 TSI MT,Pune,5058.77,2012,282000,Petrol,Manual,First,13.14,1798,160,5,13.14,location_small
1976,Maruti Wagon R LXI Minor,Jaipur,2314.77,2009,111000,Petrol,Manual,Second,18.9,1061,67,5,18.9,location_small
1977,Renault Duster 110PS Diesel RxZ,Kochi,9335.73,2013,63295,Diesel,Manual,First,19.01,1461,108.45,5,19.01,location_big
1978,Maruti Ciaz VXi Plus,Mumbai,9121.11,2015,35770,Petrol,Manual,First,20.73,1373,91.1,5,20.73,location_big
1979,Hyundai Elantra CRDi SX,Hyderabad,13796.64,2012,125928,Diesel,Manual,First,22.7,1582,126.24,5,22.7,location_big
1980,Skoda Rapid 1.5 TDI AT Elegance,Kolkata,6515.08,2015,45000,Diesel,Automatic,First,21.66,1498,103.52,5,21.66,location_small
1981,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,36024.56,2013,21000,Diesel,Automatic,First,14.84,2143,170,5,14.84,location_big
1982,Honda Accord 2.4 A/T,Mumbai,9734.3,2011,54774,Petrol,Automatic,First,11.7,2354,177.6,5,11.7,location_big
1983,Maruti Celerio VXI,Chennai,5212.06,2014,41123,Petrol,Manual,First,23.1,998,67.04,5,23.1,location_small
1984,BMW 7 Series 740Li,Bangalore,142565.28,2017,17465,Petrol,Automatic,First,12.05,2979,320,5,12.05,location_big
1985,BMW 3 Series 320d Sport,Chennai,33111.94,2014,48000,Diesel,Automatic,First,22.69,1995,190,5,22.69,location_small
1986,Volkswagen Vento Diesel Trendline,Chennai,6131.84,2011,173000,Diesel,Manual,First,20.54,1598,103.6,5,20.54,location_small
1987,Maruti Swift Dzire Tour LDI,Pune,8431.28,2018,12000,Diesel,Manual,First,23.4,1248,74,5,23.4,location_small
1988,Land Rover Freelander 2 SE,Mumbai,29509.48,2012,34000,Diesel,Automatic,First,12.39,2179,147.51,5,12.39,location_big
1989,Hyundai i20 1.4 CRDi Magna,Hyderabad,6055.19,2012,71360,Diesel,Manual,First,21.9,1396,90,5,21.9,location_big
1990,Maruti Dzire VDI,Mumbai,6515.08,2012,74000,Diesel,Manual,Second,28.4,1248,73.75,5,28.4,location_big
1991,Jeep Compass 2.0 Longitude,Kochi,26090.98,2018,28937,Diesel,Manual,First,17.1,1956,170,5,17.1,location_big
1992,Maruti Ertiga VDI,Hyderabad,9964.24,2012,82085,Diesel,Manual,First,20.77,1248,88.76,7,20.77,location_big
1993,Ford Figo Petrol ZXI,Bangalore,4522.23,2011,68465,Petrol,Manual,First,15.6,1196,70,5,15.6,location_big
1994,Toyota Corolla Altis 1.4 DG,Coimbatore,10914.68,2013,63854,Diesel,Manual,First,21.43,1364,86.79,5,21.43,location_big
1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,17245.8,2018,3000,Diesel,Automatic,First,24.3,1248,88.5,5,24.3,location_small
1996,Honda City 1.5 S MT,Delhi,4215.64,2009,65055,Petrol,Manual,First,17,1497,118,5,17,location_big
1997,Mahindra Scorpio S10 4WD,Hyderabad,18395.52,2015,120000,Diesel,Manual,First,15.4,2179,120,7,15.4,location_big
1998,Hyundai Xcent 1.2 VTVT SX,Mumbai,5625.96,2014,64241,Petrol,Manual,First,20.14,1197,81.86,5,20.14,location_big
2000,Mahindra Renault Logan 1.4 GLX Petrol,Pune,3525.81,2008,2200,Petrol,Manual,First,15.7,1390,75,5,15.7,location_small
2001,Skoda Octavia 1.9 TDI,Pune,3372.51,2008,88123,Diesel,Manual,First,18.7,1896,66,5,18.7,location_small
2002,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,62851.36,2014,79000,Diesel,Automatic,First,12,2987,224,7,12,location_small
2003,BMW X1 sDrive 20d xLine,Bangalore,43689.36,2016,28143,Diesel,Automatic,First,20.68,1995,190,5,20.68,location_big
2004,Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,8415.95,2015,23001,Petrol,Manual,First,15.04,1598,103.2,5,15.04,location_big
2005,Audi A4 2.0 TDI,Ahmedabad,26826.8,2013,82002,Diesel,Automatic,Second,16.55,1968,147.51,5,16.55,location_big
2006,Ford Ikon 1.4 TDCi DuraTorq,Bangalore,3050.59,2009,75000,Diesel,Manual,First,13.8,1399,68,5,13.8,location_big
2007,Hyundai Verna 1.6 CRDi EX MT,Kochi,10178.85,2016,37451,Diesel,Manual,First,22.32,1582,126.3,5,22.32,location_big
2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,25293.84,2017,67000,Diesel,Manual,First,13.68,2393,147.8,7,13.68,location_big
2009,Hyundai Grand i10 Asta Option,Pune,7664.8,2016,25000,Petrol,Manual,First,18.9,1197,82,5,18.9,location_small
2010,Volkswagen Ameo 1.2 MPI Comfortline,Mumbai,8277.98,2017,12000,Petrol,Manual,First,17,1198,73.75,5,17,location_big
2011,Renault KWID RXT,Kolkata,4583.55,2017,25000,Petrol,Manual,First,25.17,799,53.3,5,25.17,location_small
2012,Honda City 1.5 S MT,Jaipur,6285.14,2011,95936,Petrol,Manual,First,17,1497,118,5,17,location_small
2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,10362.81,2018,5354,Petrol,Automatic,First,18.9,1197,81.86,5,18.9,location_big
