,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,Brand,Name_new
636,Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,36622.41,2014,49964,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,17.68,Audi,A6 2011-2015 2.0 TDI Premium Plus
637,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,19545.24,2014,35000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.99,Toyota,Innova 2.5 ZX Diesel 7 Seater BSIII
638,Hyundai Grand i10 CRDi Sportz,Jaipur,6361.78,2014,64000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,24.0,Hyundai,Grand i10 CRDi Sportz
639,Volkswagen Vento IPL II Petrol Highline AT,Mumbai,7128.26,2013,36000,Petrol,Automatic,First,14.8,1598.0,105.0,5.0,14.8,Volkswagen,Vento IPL II Petrol Highline AT
640,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Delhi,13643.34,2012,78600,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8,Toyota,Innova 2.5 VX (Diesel) 7 Seater BS IV
641,Hyundai Verna CRDi SX,Jaipur,2299.44,2008,170000,Diesel,Manual,Second,16.8,1493.0,110.0,5.0,16.8,Hyundai,Verna CRDi SX
642,Maruti Ritz VDi,Pune,5012.78,2015,65000,Diesel,Manual,Second,23.2,1248.0,73.94,5.0,23.2,Maruti,Ritz VDi
643,Audi Q7 3.0 TDI Quattro Technology,Pune,27593.28,2008,120300,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,12.07,Audi,Q7 3.0 TDI Quattro Technology
644,Hyundai i20 Asta Option 1.2,Pune,9657.65,2016,21000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6,Hyundai,i20 Asta Option 1.2
645,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,17337.78,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3,Maruti,Vitara Brezza ZDi Plus Dual Tone
646,Honda City i VTEC S,Pune,9443.03,2014,58407,Petrol,Manual,First,17.4,1497.0,117.3,5.0,17.4,Honda,City i VTEC S
647,Maruti Ciaz ZXi,Pune,9197.76,2014,49500,Petrol,Manual,First,20.73,1373.0,91.1,5.0,20.73,Maruti,Ciaz ZXi
648,Nissan Sunny XV CVT,Kochi,8323.97,2013,37199,Petrol,Automatic,First,17.5,1498.0,99.6,5.0,17.5,Nissan,Sunny XV CVT
649,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,7128.26,2012,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07,Volkswagen,Polo Diesel Highline 1.2L
650,Maruti Ertiga ZDI,Hyderabad,11497.2,2015,59000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,20.77,Maruti,Ertiga ZDI
651,Maruti Swift Dzire VDI,Jaipur,9581.0,2015,60000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,26.59,Maruti,Swift Dzire VDI
652,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Bangalore,14179.88,2007,39037,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,14.84,Mercedes-Benz,New C-Class C 220 CDI Elegance AT
653,Honda Brio S MT,Mumbai,4828.82,2013,17003,Petrol,Manual,First,19.4,1198.0,86.8,5.0,19.4,Honda,Brio S MT
654,Hyundai i10 Magna Optional 1.1L,Hyderabad,3525.81,2008,80400,Petrol,Manual,First,16.0,1086.0,66.7,5.0,16.0,Hyundai,i10 Magna Optional 1.1L
655,Hyundai Verna 1.6 SX CRDi (O),Jaipur,8048.04,2012,75200,Diesel,Manual,First,22.32,1582.0,126.32,5.0,22.32,Hyundai,Verna 1.6 SX CRDi (O)
656,Maruti Ciaz VDI SHVS,Kochi,11343.9,2017,41217,Diesel,Manual,First,28.09,1248.0,88.5,5.0,28.09,Maruti,Ciaz VDI SHVS
657,Ford Ikon 1.3 Flair,Pune,2376.09,2006,98293,Petrol,Manual,Second,13.8,1299.0,70.0,5.0,13.8,Ford,Ikon 1.3 Flair
658,Volkswagen Polo 1.2 MPI Highline,Pune,9197.76,2017,54000,Petrol,Manual,Second,16.2,1199.0,74.0,5.0,16.2,Volkswagen,Polo 1.2 MPI Highline
659,Honda Jazz 1.2 V i VTEC,Chennai,9044.46,2016,17377,Petrol,Manual,First,18.7,1199.0,88.7,5.0,18.7,Honda,Jazz 1.2 V i VTEC
660,Honda Amaze EX i-Dtech,Bangalore,7204.91,2013,33800,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,25.8,Honda,Amaze EX i-Dtech
661,Hyundai i20 Asta 1.4 CRDi,Hyderabad,9964.24,2015,86157,Diesel,Manual,First,22.54,1396.0,88.73,5.0,22.54,Hyundai,i20 Asta 1.4 CRDi
662,Maruti Ritz VDi,Hyderabad,5442.01,2012,146824,Diesel,Manual,First,21.1,1248.0,73.9,5.0,21.1,Maruti,Ritz VDi
663,Honda City V MT,Chennai,10884.02,2014,55000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,16.8,Honda,City V MT
664,Skoda Superb 1.8 TSI MT,Hyderabad,9197.76,2010,53293,Petrol,Manual,First,13.14,1798.0,160.0,5.0,13.14,Skoda,Superb 1.8 TSI MT
665,Maruti Vitara Brezza LDi Option,Pune,12248.35,2017,38000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3,Maruti,Vitara Brezza LDi Option
666,Hyundai i20 Asta,Bangalore,6285.14,2009,64000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,17.0,Hyundai,i20 Asta
667,Maruti Alto K10 VXI AGS,Hyderabad,6055.19,2017,25058,Petrol,Automatic,First,24.07,998.0,67.1,5.0,24.07,Maruti,Alto K10 VXI AGS
668,Hyundai EON Era Plus,Kochi,6714.36,2016,36700,Petrol,Manual,First,21.1,814.0,55.2,5.0,21.1,Hyundai,EON Era Plus
669,Hyundai i10 Sportz,Mumbai,4215.64,2011,35000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36,Hyundai,i10 Sportz
670,Mercedes-Benz SLK-Class SLK 350,Coimbatore,85140.6,2016,22732,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,18.1,Mercedes-Benz,SLK-Class SLK 350
671,Audi A6 2.0 TDI Design Edition,Hyderabad,44455.84,2014,48000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,18.53,Audi,A6 2.0 TDI Design Edition
672,Ford EcoSport 1.5 TDCi Titanium,Bangalore,10117.54,2013,62084,Diesel,Manual,First,22.77,1498.0,98.59,5.0,22.77,Ford,EcoSport 1.5 TDCi Titanium
673,Volkswagen Passat Highline DSG,Kolkata,10715.39,2012,39273,Diesel,Automatic,First,14.3,1968.0,140.0,5.0,14.3,Volkswagen,Passat Highline DSG
674,Toyota Innova Crysta 2.4 ZX MT,Bangalore,28743.0,2017,64798,Diesel,Manual,First,13.68,2393.0,147.8,7.0,13.68,Toyota,Innova Crysta 2.4 ZX MT
675,Ford Figo Diesel ZXI,Jaipur,1962.19,2010,100002,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,20.0,Ford,Figo Diesel ZXI
676,Chevrolet Aveo 1.4,Pune,1839.55,2006,78000,Petrol,Manual,Third,14.49,1399.0,92.7,5.0,14.49,Chevrolet,Aveo 1.4
677,Maruti Ritz LXi,Coimbatore,6607.06,2013,57717,Petrol,Manual,First,18.5,1197.0,85.8,5.0,18.5,Maruti,Ritz LXi
678,Land Rover Freelander 2 SE,Chennai,25293.84,2011,109000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,12.39,Land Rover,Freelander 2 SE
679,Hyundai Grand i10 Asta,Coimbatore,8645.89,2017,74515,Petrol,Manual,First,18.9,1197.0,82.0,5.0,18.9,Hyundai,Grand i10 Asta
680,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,47705.72,2017,50484,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,10.91,Ford,Endeavour 3.2 Trend AT 4X4
681,Audi Q5 2008-2012 2.0 TDI,Kochi,39029.16,2013,13452,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,12.8,Audi,Q5 2008-2012 2.0 TDI
682,Hyundai Verna 1.6 VTVT,Kochi,12079.72,2017,37688,Petrol,Manual,First,17.01,1591.0,121.3,5.0,17.01,Hyundai,Verna 1.6 VTVT
683,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Chennai,55186.56,2017,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,13.0,Mercedes-Benz,E-Class 2015-2017 E250 CDI Avantgarde
684,Maruti Swift Dzire ZXi,Pune,4368.94,2008,64000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,17.5,Maruti,Swift Dzire ZXi
685,Honda City 1.3 EXI S,Delhi,5365.36,2011,100000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,13.0,Honda,City 1.3 EXI S
686,Renault Duster 85PS Diesel RxL Optional,Jaipur,11497.2,2014,75000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,20.46,Renault,Duster 85PS Diesel RxL Optional
687,Mercedes-Benz New C-Class 220 CDI AT,Hyderabad,29126.24,2012,86000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,14.84,Mercedes-Benz,New C-Class 220 CDI AT
688,BMW X5 xDrive 30d Design Pure Experience 5 Seater,Hyderabad,82779.84,2015,69000,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,15.97,BMW,X5 xDrive 30d Design Pure Experience 5 Seater
689,Hyundai Xcent 1.2 Kappa SX Option,Kochi,7204.91,2015,41721,Petrol,Manual,First,19.1,1197.0,82.0,5.0,19.1,Hyundai,Xcent 1.2 Kappa SX Option
690,Maruti Dzire AMT ZXI Plus,Hyderabad,13030.16,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,22.0,Maruti,Dzire AMT ZXI Plus
691,BMW 3 Series 320d Corporate Edition,Kolkata,26060.32,2013,38998,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,16.07,BMW,3 Series 320d Corporate Edition
692,Maruti Alto 800 LXI,Kochi,5380.69,2017,54250,Petrol,Manual,First,22.74,796.0,47.3,5.0,22.74,Maruti,Alto 800 LXI
693,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,29892.72,2013,45979,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,17.11,Audi,A4 2.0 TDI 177 Bhp Premium Plus
694,Mini Cooper S,Pune,26060.32,2012,37000,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,13.6,Mini,Cooper S
695,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,66453.82,2015,46983,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,12.07,Audi,Q7 3.0 TDI Quattro Premium Plus
696,Chevrolet Beat Diesel LT,Bangalore,4062.34,2012,40700,Diesel,Manual,First,25.44,936.0,57.6,5.0,25.44,Chevrolet,Beat Diesel LT
697,Maruti Wagon R LXI BS IV,Kochi,5396.02,2015,43828,Petrol,Manual,First,20.51,998.0,67.04,5.0,20.51,Maruti,Wagon R LXI BS IV
698,Nissan Terrano XV Premium 110 PS,Kolkata,9581.0,2016,53000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,19.01,Nissan,Terrano XV Premium 110 PS
699,BMW 3 Series 320d Luxury Plus,Ahmedabad,37940.76,2015,100000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,18.88,BMW,3 Series 320d Luxury Plus
700,Maruti Swift Dzire VXI,Mumbai,8048.04,2015,19000,Petrol,Manual,First,20.85,1197.0,83.14,5.0,20.85,Maruti,Swift Dzire VXI
701,Skoda Yeti Elegance 4X2,Jaipur,16862.56,2016,84000,Diesel,Manual,First,17.72,1968.0,108.5,5.0,17.72,Skoda,Yeti Elegance 4X2
702,Ford EcoSport 1.5 Ti VCT AT Titanium,Kochi,13949.94,2018,37630,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,15.63,Ford,EcoSport 1.5 Ti VCT AT Titanium
703,Hyundai i20 1.2 Magna,Chennai,4982.12,2010,67714,Petrol,Manual,First,18.5,1197.0,80.0,5.0,18.5,Hyundai,i20 1.2 Magna
704,Maruti S Cross DDiS 200 Sigma Option,Pune,13030.16,2017,32000,Diesel,Manual,First,15.0,1248.0,88.5,5.0,15.0,Maruti,S Cross DDiS 200 Sigma Option
705,Hyundai Verna Transform VTVT,Pune,4752.18,2010,51000,Petrol,Manual,First,16.2,1599.0,103.2,5.0,16.2,Hyundai,Verna Transform VTVT
706,BMW 3 Series 320d Luxury Line,Kochi,30444.59,2015,58390,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,18.88,BMW,3 Series 320d Luxury Line
707,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,7511.5,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,24.0,Hyundai,Grand i10 1.2 CRDi Magna
708,Honda City i-VTEC V,Delhi,8737.87,2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,17.4,Honda,City i-VTEC V
709,Maruti Swift VDI BSIV,Kolkata,4445.58,2012,52241,Diesel,Manual,First,25.2,1248.0,74.0,5.0,25.2,Maruti,Swift VDI BSIV
710,Maruti Baleno Zeta 1.3,Coimbatore,12003.08,2018,25433,Diesel,Manual,First,27.39,1248.0,74.0,5.0,27.39,Maruti,Baleno Zeta 1.3
711,Tata Safari Storme 2012-2015 LX,Kochi,12493.62,2015,40611,Diesel,Manual,First,14.0,2179.0,138.1,7.0,14.0,Tata,Safari Storme 2012-2015 LX
712,Hyundai Accent GLS,Bangalore,3065.92,2008,72000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,13.2,Hyundai,Accent GLS
713,Maruti Swift LDI SP Limited Edition,Hyderabad,9581.0,2016,54631,Diesel,Manual,First,25.2,1248.0,74.0,5.0,25.2,Maruti,Swift LDI SP Limited Edition
714,Maruti Swift VDI BSIV,Bangalore,5212.06,2007,60000,Diesel,Manual,Second,17.8,1248.0,74.0,5.0,17.8,Maruti,Swift VDI BSIV
715,Tata Nano XTA,Coimbatore,4890.14,2016,24941,Petrol,Automatic,First,21.9,624.0,37.48,4.0,21.9,Tata,Nano XTA
716,Maruti Ertiga VDI,Ahmedabad,11880.44,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,25.47,Maruti,Ertiga VDI
717,Maruti Celerio VXI AMT,Delhi,4905.47,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,23.1,Maruti,Celerio VXI AMT
718,Maruti Swift VDI BSIV,Delhi,7511.5,2015,63000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,25.2,Maruti,Swift VDI BSIV
719,Volkswagen Vento Petrol Highline,Kochi,5825.25,2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,15.04,Volkswagen,Vento Petrol Highline
720,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Chennai,6131.84,2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,15.5,Volkswagen,Jetta 2007-2011 1.9 Highline TDI
721,Mini Cooper 5 DOOR D,Hyderabad,36024.56,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,20.7,Mini,Cooper 5 DOOR D
722,Tata Indica V2 DLS,Chennai,1762.9,2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,17.2,Tata,Indica V2 DLS
723,Honda City i-VTEC CVT VX,Bangalore,16326.02,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,18.0,Honda,City i-VTEC CVT VX
724,Jaguar XF 2.2 Litre Luxury,Coimbatore,54696.01,2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,16.36,Jaguar,XF 2.2 Litre Luxury
725,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Kochi,48962.74,2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,15.0,Mercedes-Benz,E-Class 2015-2017 E250 Edition E
726,Chevrolet Cruze LTZ,Chennai,6438.43,2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,18.3,Chevrolet,Cruze LTZ
727,Mahindra XUV500 W8 2WD,Ahmedabad,15176.3,2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,15.1,Mahindra,XUV500 W8 2WD
728,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,23699.56,2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,11.74,Mercedes-Benz,New C-Class C 200 CGI Avantgarde
729,Honda Jazz VX,Kochi,12968.84,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,18.2,Honda,Jazz VX
730,Toyota Etios G,Kolkata,4982.12,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,16.78,Toyota,Etios G
731,Maruti Alto LXi BSIII,Hyderabad,3985.7,2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,19.7,Maruti,Alto LXi BSIII
732,Maruti Swift VXI BSIV,Coimbatore,7971.39,2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,20.4,Maruti,Swift VXI BSIV
733,Maruti A-Star Vxi,Pune,2759.33,2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,19.0,Maruti,A-Star Vxi
734,Tata Nano Lx BSIV,Chennai,2452.74,2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,25.4,Tata,Nano Lx BSIV
735,Ford Figo Titanium Diesel,Kolkata,3832.4,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,25.5,Ford,Figo Titanium Diesel
736,Fiat Linea Emotion,Jaipur,3832.4,2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,16.0,Fiat,Linea Emotion
737,Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,10270.83,2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,18.16,Ford,Figo Aspire 1.2 Ti-VCT Trend
738,Maruti Baleno LXI,Hyderabad,1839.55,2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,15.4,Maruti,Baleno LXI
739,BMW 3 Series 320d Luxury Line,Coimbatore,54496.73,2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,18.88,BMW,3 Series 320d Luxury Line
740,Chevrolet Cruze LTZ,Jaipur,11880.44,2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,17.9,Chevrolet,Cruze LTZ
741,Mahindra Scorpio 2.6 DX,Chennai,2973.94,2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,12.7,Mahindra,Scorpio 2.6 DX
742,Tata Indica V2 eLS,Hyderabad,3372.51,2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,25.0,Tata,Indica V2 eLS
743,Chevrolet Cruze LTZ AT,Ahmedabad,5825.25,2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,18.1,Chevrolet,Cruze LTZ AT
744,Toyota Innova 2.5 V Diesel 8-seater,Chennai,23990.82,2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,12.8,Toyota,Innova 2.5 V Diesel 8-seater
745,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,60505.93,2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,19.27,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C
746,Maruti Ritz VXi,Kolkata,2299.44,2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,18.5,Maruti,Ritz VXi
747,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,13566.7,2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,12.8,Toyota,Innova 2.5 GX (Diesel) 8 Seater BS IV
748,Toyota Fortuner 4x4 MT,Bangalore,27439.98,2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,12.55,Toyota,Fortuner 4x4 MT
749,Hyundai i10 Sportz AT,Coimbatore,7787.44,2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,16.95,Hyundai,i10 Sportz AT
750,Hyundai Verna 1.6 SX,Bangalore,9581.0,2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,22.32,Hyundai,Verna 1.6 SX
751,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,34874.84,2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,15.73,Audi,Q3 2012-2015 35 TDI Quattro Premium Plus
752,Chevrolet Beat LS,Kolkata,2238.12,2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,18.6,Chevrolet,Beat LS
753,Ford Fiesta 1.4 Duratorq ZXI,Pune,3142.57,2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,17.8,Ford,Fiesta 1.4 Duratorq ZXI
754,Ford Figo Diesel EXI,Coimbatore,6254.48,2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,20.0,Ford,Figo Diesel EXI
755,Maruti Celerio VXI AT,Hyderabad,6974.97,2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,23.1,Maruti,Celerio VXI AT
756,Mercedes-Benz A Class A180 CDI,Mumbai,21461.44,2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,20.0,Mercedes-Benz,A Class A180 CDI
757,Hyundai Creta 1.6 SX,Ahmedabad,16709.26,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,15.8,Hyundai,Creta 1.6 SX
758,Maruti Wagon R VXI BS IV,Bangalore,3755.75,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,18.9,Maruti,Wagon R VXI BS IV
759,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,24220.77,2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,10.0,Mercedes-Benz,E-Class 2009-2013 E 220 CDI Avantgarde
760,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,12646.92,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,18.88,Ford,EcoSport 1.5 Ti VCT MT Titanium BE
761,Renault Koleos 2.0 Diesel,Delhi,13030.16,2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,13.73,Renault,Koleos 2.0 Diesel
762,Mahindra XUV500 W10 2WD,Coimbatore,23822.2,2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,16.0,Mahindra,XUV500 W10 2WD
763,Maruti Omni E 8 Str STD,Hyderabad,3602.46,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,16.8,Maruti,Omni E 8 Str STD
764,Maruti Wagon R VXI,Coimbatore,6622.39,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,22.5,Maruti,Wagon R VXI
765,Ford Endeavour XLT TDCi 4X2,Jaipur,5978.54,2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,13.1,Ford,Endeavour XLT TDCi 4X2
766,Hyundai Verna 1.6 SX,Hyderabad,7971.39,2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,22.32,Hyundai,Verna 1.6 SX
767,Hyundai i20 Magna 1.2,Mumbai,8967.82,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6,Hyundai,i20 Magna 1.2
768,Maruti Ertiga ZXI,Bangalore,9581.0,2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,16.02,Maruti,Ertiga ZXI
769,Mahindra XUV500 W9 AT,Coimbatore,27026.08,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,14.0,Mahindra,XUV500 W9 AT
770,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,14946.36,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,23.65,Maruti,SX4 S Cross DDiS 200 Zeta
771,Mercedes-Benz SLK-Class SLK 350,Bangalore,84312.8,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,18.1,Mercedes-Benz,SLK-Class SLK 350
772,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,6285.14,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07,Volkswagen,Polo Diesel Comfortline 1.2L
773,Toyota Fortuner 4x4 MT,Hyderabad,18380.19,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,12.55,Toyota,Fortuner 4x4 MT
774,Mahindra XUV500 W10 2WD,Kochi,20756.28,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,16.0,Mahindra,XUV500 W10 2WD
775,Mercedes-Benz GLE 250d,Mumbai,85845.76,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,17.9,Mercedes-Benz,GLE 250d
776,Honda Jazz 1.2 VX i VTEC,Chennai,9964.24,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,18.7,Honda,Jazz 1.2 VX i VTEC
777,Maruti Swift Dzire VDI,Pune,7281.56,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,23.4,Maruti,Swift Dzire VDI
778,Hyundai Verna 1.6 SX VTVT,Hyderabad,8584.58,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,17.01,Hyundai,Verna 1.6 SX VTVT
779,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,44762.43,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,10.91,Ford,Endeavour 3.2 Titanium AT 4X4
780,Hyundai i20 1.2 Asta Option,Kolkata,9734.3,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6,Hyundai,i20 1.2 Asta Option
781,Honda City 1.5 V MT Sunroof,Mumbai,7588.15,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,16.8,Honda,City 1.5 V MT Sunroof
782,Honda Amaze VX Diesel,Hyderabad,13030.16,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,27.4,Honda,Amaze VX Diesel
783,Hyundai Verna 1.6 SX VTVT (O),Kolkata,6898.32,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,17.1,Hyundai,Verna 1.6 SX VTVT (O)
784,Honda Mobilio S i DTEC,Chennai,8431.28,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,24.2,Honda,Mobilio S i DTEC
785,Maruti Ertiga ZDI,Kochi,10056.22,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,20.77,Maruti,Ertiga ZDI
786,Maruti Alto K10 LXI,Pune,3525.81,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,24.07,Maruti,Alto K10 LXI
787,Toyota Qualis FS B2,Pune,5365.36,2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,13.1,Toyota,Qualis FS B2
788,Hyundai i10 Sportz,Kochi,6974.97,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36,Hyundai,i10 Sportz
789,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,11880.44,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,17.0,Skoda,Laura 1.9 TDI AT Ambiente
790,Hyundai i20 Asta Option 1.2,Mumbai,8048.04,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,18.6,Hyundai,i20 Asta Option 1.2
791,BMW 5 Series 2003-2012 530d Highline,Coimbatore,35702.64,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,11.5,BMW,5 Series 2003-2012 530d Highline
792,BMW 3 Series 320d M Sport,Mumbai,36775.71,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,22.69,BMW,3 Series 320d M Sport
